,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
735889,Salesforce,2016-12-07, Account Executive,Current Employee,"Atlanta, GA",1,2.0,4.0,,,3.0,1.0,x,o,o,Run far away.. It's not what it seems... the recruiter is the best sales person ever,You work with smart people. They cater breakfast in Monday-Thursday and lunch on Monday. The area to bring clients at is GREAT! Clients dig it.,"This was the worst job I've ever had. Management talks down to you like I haven't been doing this for 10 years (and my boss has less experience with half the success).... And I was #1 on my team and #11 in the country. 

They claim compensation is great but when based in Atlanta you get the most bottom of the barrel accounts and this means everything (you have to deal with it). I've never worked so hard for a $2K deal... in. my. life. In my previous life, I never glimpsed at anything under $100K. That was for newer reps. If you sell a $100K deal, you will be at the top for the month and everyone freaks out. So what this means.... what they say you will get paid is a FAR stretch from reality. I was above my number and didn't make what they claimed because when I got my sales compensation package there are all these other factors. Therefore, I made SIGNIFICANTLY less here than my last job. The base was higher but that was it.

I'm a hunter and have always been one. Here, it does NOT make sense to focus on hunting because you get new accounts every year and for a prospect to switch CRM's this decision isn't made overnight. Don't let the recruiter tell you otherwise. Trust me.

Every current client that I did get, I had to do damage control from previous reps trying to squeeze every dollar out of them. The previous sales reps had their own agenda and it really hurt our clients. Because you get new accounts each year, the previous reps didn't care about the future. They did whatever it took to get $ and then dumped the client. I spent the first 6 months trying to get our clients not to leave us.

The office is LOUD because the desk are on top of each other with no sound barriers and all the conference rooms are booked. Clients made many comments about the background noise and it's embarrassing."
788998,Unilever,2014-12-30, Anonymous Employee,"Former Employee, more than 3 years",,4,1.0,5.0,,3.0,3.0,3.0,v,o,x,Pepsi india,Very people centric company . Intent is to be Fair to its people .,"Doing too many things together n therefore superficially .
Too much gossip / info leak 
To much focus on interns self marketing ."
305896,Grant-Thornton-UK-LLP,2021-01-07, Associate Tax Analyst,"Current Employee, more than 1 year",,4,5.0,5.0,5.0,4.0,3.0,4.0,o,o,o,Brilliant Place to work,The best part of working for Grant Thornton is the culture. It is a great place to work where I feel like you work alongside people that are friends as opposed to colleagues. GT also offer a lot of flexibility on working schedules depending on your individual circumstances.,I would recommend they implement tax training modules for new joiners so they can understand the technical element of the work from the offset.
319971,HSBC-Holdings,2020-12-07, Mortgage Advisor,"Current Employee, more than 5 years",,1,1.0,1.0,3.0,1.0,1.0,1.0,x,r,r,Bullying managers,"Good salary, overall good company benefits","Bullying managers, long hours, no mental health support"
9569,Accor,2015-10-24, ,Former Employee,,4,2.0,3.0,,3.0,3.0,3.0,x,r,r,It's okay,"It's okay working her but there are to many hours, the atmosphere is good the staff are all friendly and helpful",There are to many hours and you not getting payed enough for what your actually doing and the staff room is never clean
652482,Pearson,2019-06-28, Test Scorer,"Former Employee, less than 1 year","Austin, TX",4,4.0,,,,4.0,,v,o,o,Nice Summer Job,Relaxed environment with friendly and helpful management team.,Work can be a bit challenging on certain projects.
14005,American-Express,2010-07-24, Travel Counselor,Former Employee,"Phoenix, AZ",4,4.0,,,3.0,4.0,4.0,v,v,o,Ok place to work if you like the phone.,"Great benefits, lots of travel opportunities, shift flexibility. If you don't like your supervisor, chances are you'll have a new one within a few months anyway. Plenty of different opportunities for knowledge growth.","call after call after call, repetitive work. Opportunities for lateral moves but difficult to get promoted from within unless you've been with the company a long time. Best shifts and vacation go to the employees with the most years of service. Not enough training to help you advance."
531148,McDonald-s,2019-11-08, Crew Member,"Former Employee, more than 3 years",,4,4.0,5.0,,5.0,4.0,3.0,o,r,r,It was a good experience. You learn alot!!,Meal discount. Very easy job.,It could be under staff.
261568,EY,2021-01-18, Director,Former Employee,Oslo,4,4.0,4.0,4.0,3.0,3.0,3.0,o,o,o,Good but not great,Flexibility. One can say no to different projects,Too big to make an impact on processes
144344,Citi,2016-12-06, Information Deliver Specialist,"Former Employee, more than 3 years","Hartford, CT",5,4.0,5.0,,3.0,5.0,5.0,o,o,o,Citi,Great company to work for.  Really takes care of Employees.,Was laid off due to company moving out of state.
484263,Lloyds-Banking-Group,2020-10-01, Technical Expert,Former Employee,"Glasgow, Scotland, Scotland",4,,,,,,,o,o,o,"loved the job, but the operations manager ruined the morale of the department t","Good co workers, good perks",Historic systems and processes. Not as agile as they promote being
436610,J-Sainsbury,2018-06-07, Anonymous Employee,Current Employee,,5,5.0,5.0,,4.0,5.0,5.0,v,r,r,Manager,Hours fit around life commitment,More responsibility’s are being given to managers
479814,LinkedIn,2016-08-05, Software Development Manager,"Former Employee, more than 3 years","Mountain View, CA",5,4.0,4.0,,4.0,4.0,3.0,v,o,v,Good company to work for,One of the better companies that I have worked for,Becoming a little bit too hierarchical
419926,J-P-Morgan,2017-05-13, Applications Developer,Current Employee,"New York, NY",4,2.0,5.0,,5.0,4.0,3.0,v,v,o,"Great work location, people a little cold","Great pay,  great location and work environment, people are high end and knowledgeable","Management is not that caring, tech support is not good , Management is not that caring, tech support is not good ,"
36909,Apple,2017-02-09, Expert,"Former Employee, more than 3 years","Manchester, NH",4,2.0,4.0,,2.0,4.0,3.0,v,r,v,"Limited opportunity, but excellent experience","Great benefits, and opportunity to learn and grow professionally",Retail has very limited growth potential in the long run
453476,KPMG,2017-02-15, Anonymous Employee,"Former Employee, less than 1 year",Pune,4,2.0,4.0,,3.0,2.0,3.0,v,o,o,Background Verification Services - Good environment because of the Manager,If you are with the right manager it is a good place to be. Verification Services has different teams. Client Servicing was the best one to be with.,Long working hours. (9 am to 7 pm- not counting peak hour travel time)
364140,IBM,2016-10-18, Associate Systems Engineer,Current Employee,Bangalore,5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Great company to start your career,You will get to learn about new technologies . As of now they are concentrating more on cloud computing and cognitive computing where in you will get to learn about this,As of now I dont see any cons
196355,Deloitte,2019-05-19, Cyber Risk Consultant,Current Employee,,4,,,,,,,o,o,o,Start Full-Time in September 2019,"Great work culture, or at least it seems. Good pay",Sometimes  a big company might be more difficult to navigate.
485306,Loughborough-University,2018-11-02, Anonymous Employee,Current Employee,,5,,,,,,,v,v,o,Student Helper,Great experience and the opportunity to learn new skills.,Cons are few and far between.
649356,Pearson,2014-02-24, Inside Sales Representative,"Current Employee, more than 5 years","Chandler, AZ",2,3.0,2.0,,1.0,4.0,1.0,x,x,x,"Started out good, then went bad",I loved the flexible hours and the ability to telecommute when I needed to. The people were phenomenal. The pay was great.,"Pearson started out great then had new top executives and completely turned the company upside down. Even though they're a technology company, the technology were at times way behind. We were always given things to sell that were still being developed. We would sell something, spend months training on it and then it would get pulled. Even the training was not good. We were responsible for a quota that made no sense. Our department got eliminated only to be recreated with new people. Telecommute days got taken away. No leadership at all. Lack of communication. Changes were both slow to come yet, came way too fast. Way too many reorgs! We re-orged at least 3 times in my 7  years there. From Elementary & Seconday, to K12 and spent months training on it, only to revert back to E&S and then back to K12. Databases were old or different groups were using different databases and makes no sense. Sales Executives were forced to handle customer service issues, yet we were still expected to manage quota. There's not enough time in an 8 hour day to do customer service, tech support and sales jobs. There was also absolutely lack of career advancement. Plenty of lateral moves but no way for you to move up."
617503,Oracle,2012-08-16, Database Administrator,"Former Employee, less than 1 year",Vellore,4,4.0,5.0,,5.0,5.0,3.0,v,v,v,i am  very profession in the oracle,"it is more improve in data base ,it was developed easy 
easy can understand",it was good exprence to work oracle
586192,Microsoft,2021-01-13, Compliance Officer,Current Employee,Milan,3,,,,,,,o,o,o,One Microsoft,"International envirorment, possibility to travel","""One Microsoft"" Is not true at all"
553235,McKinsey-and-Company,2008-05-07, Business Analyst,Current Employee,"Seattle, WA",4,4.0,,,4.0,2.0,4.0,v,v,o,"Why you should consider getting the McKinsey brand on your resume? And, why you will be every i-bankers envy","If you are looking for a place that can truly catalyze your growth and put you on the super-fast career track then there is absolutely no better place than McKinsey.  Before I joined I remember being told that 1 year at McKinsey is equivalent to 5-7 years of experience at an average company.  No matter how average an average company could be, this to me seemed completely unbelievable.  But today, when I work with people who have been in industry for 10-15 years and I see myself being able to have insightful conversations with them, I begin to believe that indeed I do have more than a few years of experience packed in my time here.  Also, there is no brand, absolutely no brand, that goes further than McKinsey.","No real downsides to joining McKinsey as a Business Analyst. You are joining the works elite right after undergrad.  Things don't get much better than that.  I was at a dinner recently which had 90% investment bankers.  Gosh.  Those guys have no life, no hobbies, there is not a single thing they can talk about besides work, and they really have little personality.  McKinsey is NOT like that.  BUT, with all the traveling it can be hard to have a relationship.  Also, because you are treated so nicely all the time, it is possible to have a bloated sense of self-worth and seniority."
